#Species	Protein coding	Intronic	SINE	LINE	LTR	DNA transposon	Satellite	Small RNA	Simple repeat	Low complexity	Unclassified repeat	Miscellaneous unique	Total
Canis familiaris	26556087	502984812	243251071.0	461321498.0	107148389.0	59867636.0	595668.0	3429628.0	25808328.0	17513633.0	1256194.0	995377239.0	2445110183.0
Rattus norvegicus	39144981	642980951	171456178.0	526328158.0	240357739.0	25517898.0	3548588.0	5324859.0	55040729.0	16623671.0	47824283.0	944732986.0	2718881021.0
Danio rerio	51106830	548088528	31911777.0	36984466.0	67900098.0	473157323.0	28101508.0	2751619.0	41852231.0	21535007.0	12475619.0	41170041.0	1357035047.0
Macaca mulatta	34248763	728142007	360914539.0	548219928.0	232295155.0	87968737.0	13254119.0	1308662.0	22275996.0	15702630.0	1446581.0	817888068.0	2863665185.0
Zea mays	53757639	66964657	327593.0	17400689.0	1489307057.0	77376548.0	4316900.0	2790630.0	3055605.0	4039077.0	9841018.0	329405140.0	2058582553.0
Monodelphis domestica	23206153	710238642	401973176.0	1008143972.0	326429056.0	60881930.0	6532.0	4065380.0	47788651.0	27718516.0	521305.0	891399725.0	3502373038.0
Sorghum bicolor	42969423	48281252	9088.0	4940006.0	84680433.0	19145019.0	57388.0	68967.0	2677604.0	4371416.0	773589.0	451255182.0	659229367.0
Tribolium castaneum	20173463	59717083	8383.0	211415.0	117226.0	2860130.0	0.0	516.0	336622.0	2950833.0	0.0	70281642.0	156657313.0
Thalassiosira pseudonana	17395480	2171163	0.0	19582.0	339001.0	142872.0	18533.0	5074.0	84620.0	13972.0	13446.0	11098039.0	31301782.0
Plasmodium falciparum	12234829	1405457	0.0	0.0	0.0	0.0	231059.0	35123.0	3813259.0	4883215.0	130939.0	530457.0	23264338.0
Drosophila melanogaster	31755074	54452454	0.0	1893670.0	4596711.0	733485.0	311520.0	13624.0	1390902.0	1278435.0	769910.0	23185761.0	120381546.0
Dictyostelium discoideum	12234599	1295539	0.0	838633.0	197893.0	84451.0	0.0	998.0	4486330.0	5749776.0	43.0	9054810.0	33943072.0
Homo sapiens	103330430	1325743747	385270856.0	609952196.0	259122242.0	95646896.0	12381861.0	1443809.0	25937716.0	17947554.0	5418573.0	253481532.0	3095677412.0
Pongo abelii	31944283	760025037	354298919.0	586537760.0	241594710.0	91819022.0	7795905.0	1358855.0	21535005.0	16693570.0	4141074.0	911746889.0	3029491029.0
Equus caballus	27727539	606953510	172749025.0	532354848.0	162901077.0	75934365.0	1044029.0	84919978.0	9851737.0	10794806.0	1867645.0	679954888.0	2367053447.0
Caenorhabditis elegans	28697958	33302888	87172.0	396882.0	399083.0	6845259.0	800017.0	7936.0	572486.0	1627503.0	2477999.0	25057093.0	100272276.0
Bos taurus	36938825	675699344	423044126.0	544718934.0	110932903.0	50194885.0	995624.0	727223.0	12817390.0	12497823.0	952965.0	764893282.0	2634413324.0
Mus musculus	77678111	912453947	194323459.0	512121108.0	297112207.0	27528140.0	3314029.0	1597592.0	55694579.0	19729301.0	8510525.0	544832220.0	2654895218.0
Gallus gallus	24566419	325922087	655264.0	61258040.0	11127361.0	8460297.0	215604.0	224101.0	5278019.0	5478741.0	416095.0	588280415.0	1031882443.0
Pan troglodytes	44770589	878543240	352119302.0	533798830.0	227050774.0	88453616.0	8625270.0	1313626.0	21414870.0	15848659.0	4303678.0	820025664.0	2996268118.0
Tetraodon nigroviridis	23351380	70519625	85839.0	387004.0	0.0	0.0	243.0	35627.0	3657582.0	1297249.0	62.0	141649859.0	240984470.0
Oryzias latipes	25089821	175964505	1823517.0	624218.0	132755.0	7311621.0	0.0	168288.0	3345687.0	4644059.0	862736.0	504251646.0	724218853.0
Brachypodium distachyon	41675378	53395453	0.0	0.0	43397925.0	342455.0	2154.0	172340.0	903071.0	1135183.0	76.0	130124390.0	271148425.0
Populus trichocarpa	45484336	41978324	1479778.0	946453.0	50680903.0	15771219.0	265497.0	1617021.0	2354975.0	18676878.0	9030296.0	190260215.0	378545895.0
Arabidopsis lyrata	38760393	29155972	489705.0	3503282.0	14961954.0	7188652.0	515210.0	298680.0	824259.0	3555824.0	3441746.0	91486634.0	194182311.0
Oryza sativa	41289044	35480684	1137265.0	2474501.0	59594982.0	40849179.0	264239.0	242307.0	1994055.0	1701378.0	2744620.0	105400674.0	293172928.0
Arabidopsis thaliana	41144915	18537136	113434.0	1186326.0	7885813.0	5188644.0	1022137.0	60201.0	397721.0	1447609.0	2175285.0	39987127.0	119146348.0
Taeniopygia guttata	15909562	242095477	812258.0	30965112.0	27359609.0	474414.0	15612.0	193221.0	5237961.0	7230743.0	365230.0	689794219.0	1020453418.0
Anopheles gambiae	20644091	49248983	1553186.0	5294400.0	4622715.0	7544355.0	416997.0	9812.0	2457431.0	1278785.0	224768.0	137171134.0	230466657.0
Saccharomyces cerevisiae	8758716	111552	0.0	0.0	399606.0	0.0	0.0	12034.0	65804.0	51268.0	50994.0	2620924.0	12070898.0
Ciona intestinalis	13603923	30177268	3843839.0	1347787.0	55779.0	6478041.0	412792.0	5061.0	241484.0	1240042.0	53.0	36403884.0	93809953.0
